Timestamp,tiltCompensatedHeading,pitch,roll
2022-10-23_20:16:51,"[93.32796673490309, 0.03387764611236473, 0.06161487984311333]"
2022-10-23_20:17:35,"[93.19606356375647, 0.03443821713316293, 0.06068190843512727]"
2022-10-23_20:18:19,"[92.24085210226092, 0.033513569438590456, 0.05953222007524834]"
2022-10-23_20:19:03,"[91.37623567964383, 0.03011375822217419, 0.05790620524810726]"
2022-10-23_20:19:48,"[91.37040852178956, 0.03341845117972757, 0.06025949723402651]"
2022-10-23_20:20:32,"[90.32791352252406, 0.03254180533811404, 0.05829870205384728]"
2022-10-23_20:21:16,"[90.25162090115096, 0.03483871147995296, 0.0688243021002961]"
2022-10-23_20:22:00,"[92.11074387236783, 0.029066928998870995, 0.05510514002638113]"
2022-10-23_20:22:44,"[92.79381657065744, 0.03287117311531426, 0.0579917747988294]"
2022-10-23_20:23:28,"[90.75231201886419, 0.03415574590714611, 0.05989051904328133]"
2022-10-23_20:24:13,"[90.20601945190711, 0.03316110853937216, 0.06259617785504099]"
2022-10-23_20:24:57,"[89.95124136816013, 0.03496687423184836, 0.05881171830270788]"
2022-10-23_20:25:41,"[89.68659556518719, 0.03265294186146623, 0.0606322539000334]"
2022-10-23_20:26:25,"[89.3620869295027, 0.03631660933844116, 0.06201886334350533]"
2022-10-23_20:27:09,"[84.28061333143306, 0.05805405820772749, 0.37533126407679634]"
2022-10-23_20:27:53,"[88.079542069536, 0.06374432366015721, 0.37683545154084275]"
2022-10-23_20:28:37,"[84.38909171777333, 0.06428427500638383, 0.37877972190173065]"
2022-10-23_20:29:22,"[87.48687059601504, 0.06399879524330182, 0.3787367806583286]"
2022-10-23_20:30:06,"[86.52750253074096, 0.06516500218725535, 0.3801525670346955]"
2022-10-23_20:30:50,"[88.0846328011263, 0.06603648062969597, 0.3785556791078405]"
2022-10-23_20:31:34,"[88.53270105777462, 0.0646480141085338, 0.3768954896398299]"
2022-10-23_20:32:18,"[87.23067878776763, 0.06452170588966578, 0.37877972190173065]"
